;;Entering passengers;;;;;;;;;Leaving passengers;;;;;;;;
Date;Departure;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Rubenslaan;Sterrenwijk;Bleekstraat;CS Centrumzijde;AZU;Heidelberglaan;Padualaan;De Kromme Rijn;Stadion Galgenwaard;Rubenslaan;Sterrenwijk;Bleekstraat;CS Centrumzijde
4-9-2015;19:00-19:14;35;0;0;0;1;0;0;0;0;0;5;5;8;10;4;0;4;0
4-9-2015;19:15-19:29;25;0;0;0;0;0;0;0;0;0;2;4;4;3;7;0;4;1
4-9-2015;19:30-19:44;19;0;0;0;0;0;0;0;0;0;1;4;4;2;1;0;6;1
4-9-2015;19:45-19:59;9;0;0;0;0;0;0;0;0;0;0;1;1;1;4;0;2;0
4-9-2015;20:00-20:14;12;0;0;1;0;0;0;0;0;0;1;4;4;0;0;0;4;0
4-9-2015;20:15-20:29;18;0;0;0;0;0;0;0;0;0;2;5;6;3;0;0;2;0
4-9-2015;20:30-20:44;11;0;0;2;1;0;0;0;0;0;0;4;3;0;0;0;6;1
4-9-2015;20:45-20:59;6;0;1;0;0;0;0;0;0;0;0;2;0;0;2;0;2;1
4-9-2015;21:00-21:14;8;1;1;0;0;0;0;0;0;0;2;1;6;1;0;0;0;0
4-9-2015;21:15-21:29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4-9-2015;21:30-21:44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4-9-2015;21:45-21:59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-9-2015;6:00-6:14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-9-2015;6:15-6:29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-9-2015;6:30-6:44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-9-2015;6:45-6:59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-9-2015;7:00-7:14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-9-2015;7:15-7:29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-9-2015;7:30-7:44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-9-2015;7:45-7:59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5-9-2015;8:00-8:14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
